postcode,med_household_income,zhvi,zori
94102,62388.0,687829.3905480052,2636.701162847273
94103,111028.0,791276.3722590382,3297.3510587333526
94105,250000.0,1078359.2090233192,4162.434189871689
94107,176788.0,961513.1715654592,3532.5530954790825
94108,68768.0,906898.4206076284,2759.714285714286
94109,108691.0,960233.3476375468,2798.038182937916
94110,152115.0,1254020.4271176427,3811.160648148148
94111,164107.0,1023295.484685756,3363.977777777778
94112,120731.0,1076677.461398831,3459.0634920634925
94114,184671.0,1642073.9982004117,3939.237516869096
94115,149927.0,1339154.8564839505,3510.9627450980392
94116,145931.0,1441776.786372118,3361.6666666666665
94117,190444.0,1422270.279518434,3484.429425244642
94118,157143.0,1867804.3852665955,3193.7938596491226
94121,132519.0,1565030.7560118812,3262.714285714286
94122,141760.0,1469064.3691722516,3108.0836385836387
94123,211854.0,2047792.2178820863,3691.341404320988
94124,76341.0,884231.2516356022,3722.95
94127,200082.0,1755164.8702069062,4833.333333333333
94131,196571.0,1512430.754307187,3596.830687830688
94132,104537.0,1266988.5866476097,3933.3333333333335
94133,77652.0,1206107.220517415,3630.738095238096
94134,104247.0,1003852.0101412284,3844.5
94158,180208.0,1213094.4978186043,3848.007936507936
94129,,,
